날짜,시간대,활동,설명,주소,운영시간
day1,morning,오사카 성 방문,일본의 역사와 문화를 느낄 수 있는 대표적인 성.,"1-1 Osakajo, Chuo Ward, Osaka, 540-0002, Japan",09:00 - 17:00
day1,morning,오사카 역사 박물관,오사카의 역사와 발전 과정을 전시하는 박물관.,"4-1-32 Otemae, Chuo Ward, Osaka, 540-0008, Japan",09:30 - 17:00
day1,afternoon,우메다 스카이 빌딩,오사카의 전경을 한눈에 볼 수 있는 전망대.,"1-1-88 Oyodonaka, Kita Ward, Osaka, 531-6023, Japan",10:00 - 22:30
day1,afternoon,그랜드 프론트 오사카,다양한 쇼핑과 식사를 즐길 수 있는 복합 쇼핑몰.,"4-1 Ofukacho, Kita Ward, Osaka, 530-0011, Japan",10:00 - 21:00
day1,evening,도톤보리 거리,오사카의 대표적인 번화가로 다양한 먹거리가 가득.,"Dotonbori, Chuo Ward, Osaka, 542-0071, Japan",24시간
day1,evening,이치란 라멘 도톤보리,개인 맞춤형 라멘을 즐길 수 있는 유명 라멘 체인점.,"7-18 Soemoncho, Chuo Ward, Osaka, 542-0084, Japan",24시간
day2,morning,유니버설 스튜디오 재팬,다양한 테마파크와 놀이기구를 즐길 수 있는 곳.,"2 Chome-1-33 Sakurajima, Konohana Ward, Osaka, 554-0031, Japan",09:00 - 21:00
day2,afternoon,유니버설 스튜디오 재팬,다양한 테마파크와 놀이기구를 즐길 수 있는 곳.,"2 Chome-1-33 Sakurajima, Konohana Ward, Osaka, 554-0031, Japan",09:00 - 21:00
day2,evening,난바 파크스,자연과 도시가 조화를 이루는 복합 쇼핑몰.,"2-10-70 Nanbanaka, Naniwa Ward, Osaka, 556-0011, Japan",11:00 - 21:00
day2,evening,쿠시카츠 다루마 신세카이 본점,오사카의 대표적인 꼬치 튀김 요리 전문점.,"2-3-9 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan",11:00 - 22:00
day3,morning,오사카 아쿠아리움 가이유칸,세계 최대 규모의 수족관 중 하나.,"1-1-10 Kaigandori, Minato Ward, Osaka, 552-0022, Japan",10:00 - 20:00
day3,morning,덴포잔 대관람차,오사카의 아름다운 경치를 감상할 수 있는 대관람차.,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022, Japan",10:00 - 22:00
day3,afternoon,신사이바시 쇼핑 아케이드,다양한 브랜드와 상점이 모여 있는 쇼핑 거리.,"Shinsaibashisuji, Chuo Ward, Osaka, 542-0085, Japan",10:00 - 21:00
day3,afternoon,호젠지 요코초,전통적인 일본 분위기를 느낄 수 있는 골목길.,"1 Chome-1-6 Namba, Chuo Ward, Osaka, 542-0076, Japan",24시간
day3,evening,오사카 타코야키 박물관,오사카의 대표적인 음식 타코야키를 체험할 수 있는 곳.,"4-2-8 Hineno, Izumisano, Osaka 598-0021, Japan",11:00 - 22:00
day3,evening,오코노미야키 치보,오사카의 전통 음식 오코노미야키를 맛볼 수 있는 곳.,"1-5-5 Dotonbori, Chuo Ward, Osaka, 542-0071, Japan",11:00 - 23:00
day4,morning,오사카 텐만구 신사,학문의 신을 모시는 유명한 신사.,"2-1-8 Tenjinbashi, Kita Ward, Osaka, 530-0041, Japan",24시간
day4,morning,나카노시마 공원,도심 속에서 자연을 즐길 수 있는 공원.,"1 Nakanoshima, Kita Ward, Osaka, 530-0005, Japan",24시간
day4,afternoon,오사카 과학 박물관,과학과 기술을 체험할 수 있는 박물관.,"4-2-1 Nakanoshima, Kita Ward, Osaka, 530-0005, Japan",09:30 - 17:00
day4,afternoon,국립 국제 미술관,현대 미술 작품을 전시하는 미술관.,"4-2-55 Nakanoshima, Kita Ward, Osaka, 530-0005, Japan",10:00 - 17:00
day4,evening,헵파이브 대관람차,오사카의 야경을 감상할 수 있는 대관람차.,"5-15 Kakudacho, Kita Ward, Osaka, 530-0017, Japan",11:00 - 22:45
day4,evening,오사카 스테이크 하우스,고급 스테이크를 맛볼 수 있는 레스토랑.,"1-1-10 Umeda, Kita Ward, Osaka, 530-0001, Japan",17:00 - 23:00
day5,morning,츠텐카쿠 타워,오사카의 랜드마크 중 하나로 전망대가 유명.,"1-18-6 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan",09:00 - 21:00
day5,morning,신세카이,오사카의 전통적인 분위기를 느낄 수 있는 거리.,"Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan",24시간
day5,afternoon,텐노지 동물원,다양한 동물을 만날 수 있는 도심 속 동물원.,"1-108 Chausuyamacho, Tennoji Ward, Osaka, 543-0063, Japan",09:30 - 17:00
day5,afternoon,아베노 하루카스,일본에서 가장 높은 빌딩으로 쇼핑과 전망을 즐길 수 있는 곳.,"1-1-43 Abenosuji, Abeno Ward, Osaka, 545-6016, Japan",10:00 - 20:00
day5,evening,덴덴타운,오사카의 전자제품과 애니메이션 관련 상품을 판매하는 거리.,"Nipponbashi, Naniwa Ward, Osaka, 556-0005, Japan",10:00 - 20:00
day5,evening,오사카 스시 레스토랑,신선한 스시를 맛볼 수 있는 고급 레스토랑.,"2-3-1 Namba, Chuo Ward, Osaka, 542-0076, Japan",17:00 - 23:00
